Sample,Observation,A,Ci,Tleaf,Qin,Patm
DFA_B2_P15_9709,0+1,23.79891102,256.3173594,30.08758354,1498.869507,100.913269
DFA_B2_P15_9709,0+2,16.27068839,226.9637647,27.86479568,1499.012207,100.9187698
DFA_B2_P15_9709,0+3,11.22342617,145.7042353,28.09777641,1499.707153,100.9236069
DFA_B2_P15_9709,0+4,2.378112655,88.97467446,27.03807449,1499.411255,100.9261703
DFA_B2_P15_9709,0+5,1.195348738,77.30700081,28.62974358,1499.629517,100.9309464
DFA_B2_P15_9709,0+6,21.6490169,281.8484184,28.17521858,1499.307739,100.9333191
DFA_B2_P15_9709,0+7,22.16381353,275.1119093,28.25977516,1498.93689,100.9316864
DFA_B2_P15_9709,0+8,31.54382307,413.6346006,28.64776421,1498.96936,100.9364014
DFA_B2_P15_9709,0+9,36.52454901,600.8824175,28.06053543,1499.801636,100.9389114
DFA_B2_P16_S7C8,0+10,26.71744346,284.502727,30.54340744,1499.062988,100.9423904
DFA_B2_P16_S7C8,0+11,19.13356266,220.6120614,30.19871712,1499.223022,100.9449692
DFA_B2_P16_S7C8,0+12,13.65412278,153.6019789,28.78949928,1499.685547,100.9454651
DFA_B2_P16_S7C8,0+13,2.714528551,90.15255132,27.85970497,1500.273804,100.9450226
DFA_B2_P16_S7C8,0+14,1.762501996,79.26718231,28.14197922,1500.285278,100.9414368
DFA_B2_P16_S7C8,0+15,24.34576446,318.1720178,28.34102821,1500.644531,100.9386292
DFA_B2_P16_S7C8,0+16,24.84689843,313.7923045,28.68570328,1500.034058,100.9388275
DFA_B2_P16_S7C8,0+17,31.17016343,495.0933879,28.46979523,1500.018921,100.9395142
DFA_B2_P16_S7C8,0+18,33.38195368,676.1617379,29.03835487,1499.341187,100.9373932
DFA_B2_P17_110412,0+19,24.1637729,271.508055,30.1186924,1499.041504,100.942131
DFA_B2_P17_110412,0+20,17.60427016,206.3424641,30.20498848,1499.897339,100.9439087
DFA_B2_P17_110412,0+21,13.12337339,145.1741284,28.74256516,1499.372803,100.9430923
DFA_B2_P17_110412,0+22,2.668885421,88.14020783,27.96089363,1499.579468,100.9454117
DFA_B2_P17_110412,0+23,1.56612345,77.68761176,28.19638062,1499.45874,100.9466324
DFA_B2_P17_110412,0+24,21.52974261,305.6242112,28.96082115,1499.21582,100.9518433
DFA_B2_P17_110412,0+25,24.17525326,300.2858533,28.64774513,1499.002319,100.9515305
DFA_B2_P17_110412,0+26,30.04563584,452.2595594,29.78356171,1499.075684,100.955986
DFA_B2_P17_110412,0+27,33.29675547,664.9872807,28.24432945,1498.738403,100.9579544
DFA_B2_P20_8717,0+28,26.85790364,311.6006599,29.77288628,1498.833618,100.9539566
DFA_B2_P20_8717,0+29,18.59306093,241.7085409,29.4409771,1499.956299,100.9521866
DFA_B2_P20_8717,0+30,13.29313788,163.5226976,28.97738266,1499.742432,100.9543839
DFA_B2_P20_8717,0+31,3.379933086,90.13584111,29.14229202,1499.831055,100.9547577
DFA_B2_P20_8717,0+32,1.859217054,78.02972819,29.99962044,1499.107056,100.9556808
DFA_B2_P20_8717,0+33,23.28015675,320.5310743,30.00046539,1499.070557,100.9538269
DFA_B2_P20_8717,0+34,25.9739474,313.6209636,30.00889397,1498.954956,100.9505692
DFA_B2_P20_8717,0+35,31.8855798,489.9246676,30.00767899,1498.6604,100.9508667
DFA_B2_P20_8717,0+36,35.34318049,673.9259538,30.0108223,1499.514526,100.9533539
DFA_B2_P21_7903,0+37,26.31909716,305.7071791,29.94647598,1500.472778,100.9514923
DFA_B2_P21_7903,0+38,21.77567788,243.0789276,28.39200592,1499.291748,100.949707
DFA_B2_P21_7903,0+39,11.33888979,168.8527793,28.56352997,1498.63916,100.9464493
DFA_B2_P21_7903,0+40,2.703267286,93.3632773,28.57003212,1500.422119,100.9440308
DFA_B2_P21_7903,0+41,1.333089953,79.71269577,29.23600006,1499.313965,100.9471664
DFA_B2_P21_7903,0+42,24.04041644,332.884797,29.08372307,1499.014526,100.9472122
DFA_B2_P21_7903,0+43,24.73473008,327.7896466,29.34646797,1499.671265,100.9472275
DFA_B2_P21_7903,0+44,34.47118918,505.3690499,29.23227501,1499.901001,100.9447403
DFA_B2_P21_7903,0+45,37.42590112,693.8268051,29.57935905,1499.197754,100.9411469
DFA_B2_P22_9671,0+46,23.89268596,321.7321866,30.51707458,1499.049927,100.9376907
DFA_B2_P22_9671,0+47,16.14501079,261.4661299,28.64317703,1499.937256,100.9389267
DFA_B2_P22_9671,0+48,12.54968102,172.7881332,28.57743073,1500.696289,100.9436569
DFA_B2_P22_9671,0+49,0.732457638,96.30423135,28.67726898,1501.205566,100.9473648
DFA_B2_P22_9671,0+50,0.155567552,81.29979355,30.0147953,1501.157349,100.9487762
DFA_B2_P22_9671,0+51,23.59873627,324.1220427,30.00902748,1500.535522,100.9467926
DFA_B2_P22_9671,0+52,24.31359216,320.8398666,30.00848007,1500.862671,100.9475861
DFA_B2_P22_9671,0+53,33.38297719,488.3519846,30.01074028,1500.638916,100.950264
DFA_B2_P22_9671,0+54,38.11627638,667.1635697,30.01628876,1500.471802,100.956398
DFA_B1_P4_9709,0+55,27.04677169,318.9482708,29.11918259,1498.665894,100.9505005
DFA_B1_P4_9709,0+56,23.97862472,216.5867726,30.05844116,1500.233765,100.9501648
DFA_B1_P4_9709,0+57,11.59081197,164.9934757,28.89853096,1500.261108,100.9495697
DFA_B1_P4_9709,0+58,2.921059203,91.08110632,28.60055161,1499.779175,100.9517365
DFA_B1_P4_9709,0+59,1.684522868,78.91182154,28.81217575,1499.899414,100.9525528
DFA_B1_P4_9709,0+60,25.75988677,320.9959132,29.00559616,1499.50354,100.9528656
DFA_B1_P4_9709,0+61,26.57990823,320.2638795,28.91074371,1499.062622,100.949707
DFA_B1_P4_9709,0+62,35.05983645,499.1018029,28.59892273,1499.740479,100.9500656
DFA_B1_P4_9709,0+63,39.39076006,680.752799,28.67663193,1500.296509,100.9496918
DFA_B1_P6_8717,0+64,27.54739225,311.7627487,29.34126472,1498.644409,100.9636078
DFA_B1_P6_8717,0+65,18.86210461,232.9546559,29.86200714,1499.725586,100.9647446
DFA_B1_P6_8717,0+66,13.28617853,160.6372748,28.56441498,1499.205322,100.9649124
DFA_B1_P6_8717,0+67,3.353048954,86.19149322,30.23329735,1499.444092,100.9647217
DFA_B1_P6_8717,0+68,1.865980491,78.94285265,28.48544884,1499.133423,100.9610214
DFA_B1_P6_8717,0+69,25.52526198,323.8613005,28.56746483,1499.455566,100.9587479
DFA_B1_P6_8717,0+70,26.71330271,316.7462364,28.91202354,1498.967041,100.9553833
DFA_B1_P6_8717,0+71,34.52564217,474.9063336,29.84837151,1499.7677,100.9508972
DFA_B1_P6_8717,0+72,36.8045984,687.7581335,28.48358536,1499.401367,100.9444275
DFA_B1_P7_9671,0+73,21.89897971,324.414402,30.13922119,1498.962036,100.9427719
DFA_B1_P7_9671,0+74,18.75532169,249.2842282,28.7361927,1499.230713,100.9366302
DFA_B1_P7_9671,0+75,9.110943222,174.0814403,28.64686584,1499.344482,100.9327621
DFA_B1_P7_9671,0+76,1.321822254,95.15973899,28.73191261,1500.536377,100.9315338
DFA_B1_P7_9671,0+77,-0.05374113,84.21543697,28.95272827,1499.984131,100.9313126
DFA_B1_P7_9671,0+78,23.12924091,320.6679931,30.01334,1500.345581,100.9293976
DFA_B1_P7_9671,0+79,23.40847438,320.0269607,30.01319885,1500.102295,100.9298935
DFA_B1_P7_9671,0+80,32.75347254,487.7150564,30.00390816,1500.416748,100.9309998
DFA_B1_P7_9671,0+81,36.52775281,669.979653,30.00944519,1500.024414,100.9297714
DFA_B1_P8_110412,0+82,23.56268007,317.672372,31.32041168,1498.718872,100.9303513
DFA_B1_P8_110412,0+83,20.3088606,252.152406,28.98223495,1499.879517,100.9258652
DFA_B1_P8_110412,0+84,9.847926029,175.3819632,28.96002769,1499.587524,100.9274902
DFA_B1_P8_110412,0+85,1.450175064,94.35424521,28.97500229,1499.388062,100.9306793
DFA_B1_P8_110412,0+86,-0.10680648,84.00403842,29.23783302,1498.653687,100.9308472
DFA_B1_P8_110412,0+87,23.77457443,338.1063833,29.40574455,1498.87146,100.9287643
DFA_B1_P8_110412,0+88,24.54720834,336.5608663,29.30631828,1499.75293,100.9252167
DFA_B1_P8_110412,0+89,35.24047275,496.5740451,29.91603851,1500.875244,100.9221191
DFA_B1_P8_110412,0+90,40.13776748,698.6239781,28.81102943,1501.141113,100.9212036
DFA_B1_P9_7903,0+91,23.23866232,338.1326376,29.39124298,1500.711304,100.9077148
DFA_B1_P9_7903,0+92,16.62750304,252.4072897,29.53623009,1501.065186,100.9068909
DFA_B1_P9_7903,0+93,11.2775213,166.4271441,30.00722885,1499.353394,100.9073792
DFA_B1_P9_7903,0+94,1.44618079,93.46204954,29.9997673,1499.611572,100.9033127
DFA_B1_P9_7903,0+95,0.379402004,84.71026988,30.01269341,1498.759033,100.8908157
DFA_B1_P9_7903,0+96,22.6283628,333.0982532,29.99554062,1499.736206,100.8856659
DFA_B1_P9_7903,0+97,23.95431071,330.5869145,29.99685287,1499.053345,100.8810501
DFA_B1_P9_7903,0+98,32.18780266,502.0849678,29.9972229,1499.305664,100.8801651
DFA_B1_P9_7903,0+99,37.82235044,681.6924834,29.99665642,1499.170654,100.8798523
DFA_B1_P12_S7C8,0+100,23.44251696,318.8168877,29.99456596,1499.937256,100.8726425
DFA_B1_P12_S7C8,0+101,18.75290676,236.8501115,29.64867592,1499.231689,100.8718719
DFA_B1_P12_S7C8,0+102,8.343615117,170.3596195,29.6496563,1499.463257,100.8696365
DFA_B1_P12_S7C8,0+103,1.254053187,93.26224372,29.78145027,1498.629517,100.8676453
DFA_B1_P12_S7C8,0+104,1.303070338,82.1706212,29.34672546,1501.400635,100.8675156
DFA_B1_P12_S7C8,0+105,20.6826353,330.7104855,29.56284332,1499.397583,100.863739
DFA_B1_P12_S7C8,0+106,20.95625446,328.241527,29.63251305,1501.18457,100.8637314
DFA_B1_P12_S7C8,0+107,29.50300438,486.981877,30.28474998,1499.852539,100.8581314
DFA_B1_P12_S7C8,0+108,34.05363729,685.2905665,29.49165535,1500.211304,100.8583298
DFA_B1_P16_S7C8,0+109,30.43977605,322.1362275,30.66207123,1499.376465,100.8430862
DFA_B1_P16_S7C8,0+110,24.19540682,250.211539,29.46874428,1499.999146,100.8414764
DFA_B1_P16_S7C8,0+111,13.30634903,178.9933146,29.55759621,1499.260742,100.8410645
DFA_B1_P16_S7C8,0+112,3.338071337,91.89841376,29.80908585,1500.119995,100.8375778
DFA_B1_P16_S7C8,0+113,2.919340582,85.09705649,30.01441956,1500.088013,100.8308182
DFA_B1_P16_S7C8,0+114,28.36597026,340.8269842,30.14221191,1499.590454,100.8261261
DFA_B1_P16_S7C8,0+115,30.08937583,346.7383901,29.60390282,1498.883301,100.8281174
DFA_B1_P16_S7C8,0+116,34.4638935,520.0771754,29.23795891,1499.122437,100.8265076
DFA_B1_P16_S7C8,0+117,38.24003625,707.6124105,29.4299984,1499.056274,100.8267517
DFA_B1_P17_9709,0+118,23.70946681,321.2422363,30.38474464,1498.794556,100.8087463
DFA_B1_P17_9709,0+119,20.24595242,238.8992922,29.62631226,1499.559204,100.8044281
DFA_B1_P17_9709,0+120,9.298101569,169.2088815,29.95664406,1498.907349,100.8047943
DFA_B1_P17_9709,0+121,1.488924371,93.32949959,29.42167664,1500.551025,100.8027954
DFA_B1_P17_9709,0+122,0.092743074,84.47799421,29.51160049,1499.417847,100.8017731
DFA_B1_P17_9709,0+123,22.81459968,320.2358757,30.03550911,1499.770264,100.797821
DFA_B1_P17_9709,0+124,23.17988992,316.7595433,30.03995323,1500.421021,100.7924423
DFA_B1_P17_9709,0+125,32.56687693,479.6354818,30.04073334,1501.378784,100.7847595
DFA_B1_P17_9709,0+126,37.03249386,652.2134259,30.04593849,1500.603271,100.7819748
DFA_B1_P19_8717,0+127,28.30699207,311.2365618,30.55352211,1499.866333,100.7737732
DFA_B1_P19_8717,0+128,19.8627608,237.7247434,30.68281937,1499.333496,100.7701797
DFA_B1_P19_8717,0+129,13.63174504,161.2741779,30.08126259,1499.412598,100.7676849
DFA_B1_P19_8717,0+130,3.078240503,89.9481931,29.96695137,1499.729126,100.7680588
DFA_B1_P19_8717,0+131,1.882177877,81.04981403,30.02577209,1499.445313,100.7593765
DFA_B1_P19_8717,0+132,25.65594823,321.053654,30.03388214,1500.432373,100.7555389
DFA_B1_P19_8717,0+133,26.49318214,321.5397249,30.03536415,1500.221313,100.7533569
DFA_B1_P19_8717,0+134,34.61777799,493.8551534,30.03280067,1499.266113,100.7526321
DFA_B1_P19_8717,0+135,38.37283172,680.4035895,30.02566147,1499.638672,100.7502365
DFA_B1_P15_110412,0+136,22.3512692,334.2050485,30.81310844,1499.818237,100.7395554
DFA_B1_P15_110412,0+137,15.44590674,258.8414026,29.66978645,1500.980103,100.7349701
DFA_B1_P15_110412,0+138,11.29992928,168.6180183,30.13736916,1501.052856,100.7372513
DFA_B1_P15_110412,0+139,0.683893059,95.63243197,29.51991463,1500.449219,100.7371979
DFA_B1_P15_110412,0+140,-0.331382404,87.71048768,29.68433189,1500.363159,100.7337189
DFA_B1_P15_110412,0+141,22.1182235,330.9742752,29.93552971,1500.291382,100.7295074
DFA_B1_P15_110412,0+142,22.92507651,327.8794018,29.99634933,1499.757813,100.7207565
DFA_B1_P15_110412,0+143,30.01482951,502.8231154,30.03298187,1499.830688,100.7179337
DFA_B1_P15_110412,0+144,34.14382959,682.0094245,30.06186104,1499.960449,100.7155762
DFA_B1_P20_9671,0+145,24.66977179,319.9458009,30.06372833,1499.61853,100.7188034
DFA_B1_P20_9671,0+146,16.41130743,241.0177509,30.60715675,1499.904053,100.7164688
DFA_B1_P20_9671,0+147,10.75022017,163.1858131,30.18380547,1499.88147,100.7144089
DFA_B1_P20_9671,0+148,0.709175247,95.47277882,29.65933228,1500.037842,100.7121964
DFA_B1_P20_9671,0+149,0.263770904,87.25671455,29.73706627,1498.856079,100.7107315
DFA_B1_P20_9671,0+150,22.70270053,323.5732219,29.7197094,1499.299805,100.7153931
DFA_B1_P20_9671,0+151,22.62815227,322.6165506,29.71535683,1499.704834,100.7149734
DFA_B1_P20_9671,0+152,32.74034922,486.1733119,29.67072868,1499.537964,100.7197723
DFA_B1_P20_9671,0+153,36.99656267,662.512113,29.78165817,1500.202515,100.7266388
DFA_B1_P23_7903,0+154,23.21298548,303.455907,30.08499146,1500.684326,100.7245255
DFA_B1_P23_7903,0+155,15.46441878,233.4340223,30.06872749,1500.367554,100.7199326
